what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui",1396065518519
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.team.ui",1396065518520
started,bundle,org.tigris.subversion.clientadapter,1.8.2,"org.tigris.subversion.clientadapter",1396065518520
started,bundle,org.tigris.subversion.subclipse.core,1.8.8,"org.tigris.subversion.subclipse.core",1396065518520
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1396065518520
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1396065518520
started,bundle,org.tigris.subversion.subclipse.ui,1.8.8,"org.tigris.subversion.subclipse.ui",1396065518521
started,bundle,eclipseme.core,1.7.9,"eclipseme.core",1396065518522
started,bundle,eclipseme.core.hooks,1.6.5,"eclipseme.core.hooks",1396065518522
started,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1396065518522
os,sysinfo,,,"win32",1396065518526
arch,sysinfo,,,"x86",1396065518526
ws,sysinfo,,,"win32",1396065518526
locale,sysinfo,,,"zh_CN",1396065518526
processors,sysinfo,,,"4",1396065518526
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1396065518526
java.runtime.version,sysinfo,,,"1.7.0-b147",1396065518526
java.specification.name,sysinfo,,,"Java Platform API Specification",1396065518526
java.specification.vendor,sysinfo,,,"Oracle Corporation",1396065518526
java.specification.version,sysinfo,,,"1.7",1396065518526
java.vendor,sysinfo,,,"Oracle Corporation",1396065518526
java.version,sysinfo,,,"1.7.0",1396065518526
java.vm.info,sysinfo,,,"mixed mode",1396065518526
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1396065518526
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1396065518526
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1396065518526
java.vm.specification.version,sysinfo,,,"1.7",1396065518526
java.vm.vendor,sysinfo,,,"Oracle Corporation",1396065518526
java.vm.version,sysinfo,,,"21.0-b17",1396065518526
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396065518550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396065527269
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1396065540958
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1396065540984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396065551964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396065573527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396065588870
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1396065603926
started,bundle,eclipseme.toolkit.motorola,1.7.7,"eclipseme.toolkit.motorola",1396065657377
started,bundle,eclipseme.toolkit.uei,1.7.8,"eclipseme.toolkit.uei",1396065657396
started,bundle,eclipseme.toolkit.mpowerplayer,1.7.7,"eclipseme.toolkit.mpowerplayer",1396065657420
started,bundle,eclipseme.toolkit.microemu,1.7.8,"eclipseme.toolkit.microemu",1396065657426
started,bundle,eclipseme.toolkit.me4se,1.7.7,"eclipseme.toolkit.me4se",1396065657452
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1396065716108
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1396065716194
started,bundle,eclipseme.core.preverifier,1.6.7,"eclipseme.core.preverifier",1396065735825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396065787486
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396065789812
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1396065803938
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1396065803976
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1396065803979
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1396065804134
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1396065804146
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1396065804163
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1396065804166
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1396065804175
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1396065804195
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1396065804195
started,bundle,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.ui",1396065804208
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.500.v201012020700,"org.eclipse.jst.j2ee.navigator.ui",1396065804210
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1396065804330
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1396065804343
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.4.1,"org.tigris.subversion.clientadapter.javahl",1396065804363
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.7.4,"org.tigris.subversion.clientadapter.svnkit",1396065804369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396065811611
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1396065811648
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1396065812554
started,bundle,org.maven.ide.eclipse.maven_model_edit,0.12.1.20110112-1712,"org.maven.ide.eclipse.maven_model_edit",1396065812610
started,bundle,org.maven.ide.eclipse,0.12.1.20110112-1712,"org.maven.ide.eclipse",1396065812659
